reaction_id,reaction,flux,std
EX_glc__D_e,Gluc.ext -> Gluc.c,-2.39E+02,48.65849532
HEX1,Gluc.c + ATP -> G6P + ADP + Pi,2.39E+02,48.65849532
PGI,G6P <-> F6P,2.39E+02,1.70E-11
PFK,F6P -> FBP,238.75,2.62E-12
FBA,FBP <-> DHAP + GAP,238.75,2.62E-12
TPI,DHAP <-> GAP,238.75,2.62E-12
PGK, 3PG + ATP <-> 13BPG + ADP + Pi,-477.5,2.62E-12
PGM,2PG <-> 3PG,-477.5,2.62E-12
ENO,2PG <-> PEP + H2O,477.5,2.62E-12
PYK,PEP + ADP <-> Pyr.c + ATP,477.5,2.62E-12
G6PDH2r,G6P -> 6PGL,1.22E-06,7.86E-12
PGL,6PGL -> 6PG,1.22E-06,7.86E-12
GND,6PG -> Ru5P + CO2,1.22E-06,7.86E-12
TKT1,P5P + P5P <-> S7P + GAP,4.07E-07,2.62E-12
TKT2,P5P + E4P <-> F6P + GAP,4.07E-07,2.62E-12
TALA,S7P + GAP <-> F6P + E4P,4.07E-07,2.62E-12
LDH_L, Lact <-> Pyr.c,-279.325,49.40417282
PYRt2m,Pyr.c -> Pyr.m,8.57E+02,3.27E+02
PDHm,Pyr.m + NAD -> AcCoA.m + CO2 + NADH,946.1007,1.21E+02
CSm,AcCoA.m + OAC.m -> Cit.m,2.74E+03,120.7073
ICDHxm,Cit.m + NAD <-> AKG.m + CO2 + NADH,205.9081,1.21E+02
AKGDm,AKG.m + NAD -> Suc.m + CO2 + NADH,239.1438,1.21E+02
SUCD1m,Suc.m + FAD <-> Fum.m + FADH2,970,67.7625701
FUMm,Fum.m <-> Mal.m,970,67.7625701
MDHm,Mal.m + NAD <-> OAC.m + NADH,-898.6526,120.7073
ME1m,Mal.m -> Pyr.m + CO2,3.73E+03,330.7189
ME2,Mal.c -> Pyr.c + CO2,1.10E+03,623.0566
PCm,Pyr.m + CO2 + ATP -> OAC.m + ADP + Pi,3.64E+03,0
MALtm,Mal.c <-> Mal.m,1.86E+03,375.098
MDH,Mal.c <-> OAC.c,-2.54E+03,2.41E+02
FUM,Mal.c <-> Fum.c,2.47E-13,0
CITtam, Cit.c -> Cit.m ,-2.54E+03,2.41E+02
ACITL,Cit.c -> AcCoA.c + OAC.c,2.54E+03,2.41E+02
ACCOAC,AcCoA.c -> FA,2.54E+03,2.41E+02
GLUNm,Gln.c <-> Glu.c,39.675,2.343802111
ASPGLUm,Glu.c <-> Glu.m,33.2357,2.343802111
GLUDym,AKG.m <-> Glu.m,-33.2358,2.343802111
EX_gln__L_e,Gln.ext -> Gln.c,-3.97E+01,2.343802111
EX_glu__L_e,Glu.c -> Glu.ext,6.4392,2.116072994
