Reaction,WT_Mean,WT_SEM,WT_Norm_CI_Low,WT_Norm_CI_High,WT_Perc_CI_Low,WT_Perc_CI_High,KO_Mean,KO_SEM,KO_Norm_CI_Low,KO_Norm_CI_High,KO_Perc_CI_Low,KO_Perc_CI_High
COAtl,0,0,0,0,0,0,0,0,0,0,0,0
EX_5adtststerone_e,897.293058495829,1.90220930218619,893.564728263544,901.021388728114,793.333702212426,984.170377883994,304.315611495191,11.5296193621399,281.717557545397,326.913665444985,-211.229160543393,962.032721966237
EX_5adtststerones_e,54.8668624973328,0.85324605183582,53.1945002357346,56.539224758931,1.68451458092621,88.3018051780931,335.22368206557,12.0773051637096,311.5521639447,358.895200186441,-308.365850999211,961.482114484615
EX_5fthf_e,-2.08239854548555,0.0553397892305291,-2.19086453237739,-1.97393255859371,-7.3692300420394,-0.0861737659116137,-17.4795978990874,0.339817046437797,-18.1456393101055,-16.8135564880693,-41.5653365773413,-1.21318773075068
EX_5mthf_e,949.672604620899,1.51286252997156,946.707394062155,952.637815179643,827.009962784049,998.60695681414,-303.290227830568,12.0741926220181,-326.955645369724,-279.624810291413,-934.13194483209,422.340183815264
EX_5thf_e,235.802564878735,5.74988447729052,224.532791303245,247.072338454224,-49.7345306703767,592.971441752473,100.92919643581,4.14346616688195,92.8080027487215,109.050390122899,-35.6003907073083,450.275072531578
EX_6dhf_e,-61.3722674093795,8.81958514000191,-78.6586542837833,-44.0858805349758,-682.541430099732,423.52839958618,-47.3890108144486,4.7392795459172,-56.6779987244463,-38.1000229044509,-264.029651473305,281.465413799725
10FTHF7GLUtl,3.01167369901869,0.0663094290525839,2.88170721807563,3.14164017996176,0.587951404898799,7.06867980280221,5.90890763398616,0.10895041828839,5.69536481414091,6.1224504538314,1.04512628303995,12.8748755401135
10FTHFtm,-993.340237871426,0.213327525431746,-993.758359821272,-992.92211592158,-999.893430072158,-970.81680252107,-983.798201081753,0.475618997982076,-984.730414317798,-982.865987845708,-999.105886007906,-944.22088898411
24_25DHVITD2t,0,0,0,0,0,0,0,0,0,0,0,0
24_25DHVITD3t,0,0,0,0,0,0,0,0,0,0,0,0
2AMADPTm,-2.82293239755003e-45,1.96887490289062e-61,-2.82293239755003e-45,-2.82293239755003e-45,-2.82293239755004e-45,-2.82293239755004e-45,-1.46391244202519e-45,7.87549961156248e-62,-1.46391244202519e-45,-1.46391244202519e-45,-1.4639124420252e-45,-1.4639124420252e-45
2OXOADOXm,0.24511805393122,0.00659440128496739,0.232193027412684,0.258043080449756,0.016077135921304,0.742336978806235,0.293981609695,0.0075729084606068,0.27913870911221,0.308824510277789,0.00881082064736913,0.849663825810928
2OXOADPTm,0.562951815481426,0.00750583226150975,0.548240384248866,0.577663246713985,0.188595404723639,0.966376301175085,0.681626662665011,0.00805285145225233,0.665843073818596,0.697410251511425,0.0496958127755549,0.970796624463772
34DHPHEt,-0.507568937086072,0.0082534015973444,-0.523745604216867,-0.491392269955277,-0.902072934452485,-0.142473404110371,-0.492659977959873,0.00810438737119229,-0.50854457720741,-0.476775378712336,-0.94010688602745,-0.0628471409171924
34DHXMANDACOX,1498.04477369895,39.7002591605258,1420.23226574432,1575.85728165358,26.2660446006046,3606.34845231885,1626.51326424827,36.4907057801735,1554.99148091913,1698.03504757741,306.342012409619,4055.8096321792
3AIBtm,702.06444186766,5.33163707572939,691.61443319923,712.51445053609,463.955495860813,997.851242281731,437.765762864199,6.78767376279642,424.461922289118,451.06960343928,107.46995676823,774.413196681221
3MOBt2im,800.234697402691,0.976358700165509,798.321034350366,802.148360455015,747.606150069044,853.073334694467,785.833558576223,1.56250286211739,782.771052966473,788.896064185973,684.39371379463,878.460136217516
3MOPt2im,951.05322232855,0.930286902464085,949.22985999972,952.876584657379,907.776208773078,999.578899528482,729.452571563164,1.84382418506716,725.838676160432,733.066466965895,615.620109416625,876.835506214589
3MOXTYROX,0.317215469428868,0.00704563841619927,0.303406018133118,0.331024920724619,0.014912925929937,0.845293824560741,0.34392440725935,0.00730848614215904,0.329599774420719,0.358249040097982,0.0746842606975887,0.846448004463765
42A12BOOX,11.7067480272338,0.256288366037263,11.2044228298008,12.2090732246669,1.7850595808254,24.4208143762111,4.33677572986959,0.128955513828462,4.08402292276581,4.58952853697337,0.274088754831714,15.0183374095513
4HOXPACDOX_NADP,-1588.75981710471,35.0102155515302,-1657.37983958571,-1520.13979462371,-3725.94916310965,-114.376316611148,-1789.55724237262,45.0368054934294,-1877.82938113974,-1701.2851036055,-5092.00790423717,-89.8533888961
4MOPt2im,988.179204610577,0.206555781078304,987.774355279663,988.58405394149,972.680613892745,998.646818527576,958.295241714225,1.24800049014299,955.849160753545,960.741322674906,890.102877660729,998.043044688463
4MPTNLte,0,0,0,0,0,0,0,0,0,0,0,0
4NPHSULT,2.47442911072142,0.0456328813567659,2.38498866326216,2.56386955818068,0.12186212304946,5.31108957220254,2.518748042653,0.0834104109401522,2.3552636372103,2.6822324480957,0.0182277979294765,11.5761470122551
5ADTSTSTERONESULT,2.46004926088977,0.076034864976344,2.31102092553614,2.60907759624341,0.0213077948296505,8.6166205193795,1.74643590727052,0.053743037254035,1.64109955425262,1.85177226028843,0.0543633176402656,6.16231773538373
