Gene.Symbol,log2_Parental,log2_DTP,ENTREZID
AACS,22.84639497,23.1580474,65985
ABAT,21.04069549,21.35846747,18
ABCA1,20.17246212,19.91575031,19
ABCA3,16.32735952,17.50126569,21
ABCB6,19.84713396,19.59912905,10058
ABCC1,23.52862317,23.64967814,4363
ABCC3,21.68982121,21.93033773,8714
ABCC4,21.79932079,21.89710208,10257
ABCC5,21.46409471,21.4817682,10057
ABCD1,22.66807329,23.22534012,215
ABCD3,23.68920337,24.04110515,5825
ACAA1,23.64033601,24.06168855,30
ACAA1,19.63828819,19.72827528,30
ACAA2,23.20940734,23.38891711,10449
ACACA,24.96599133,24.8931172,31
ACAD10,19.39991893,19.38620858,80724
ACAD11,20.14219309,20.30064661,84129
ACAD8,21.23985932,21.64603884,27034
ACAD9,22.81902377,22.79262158,28976
ACADM,24.29665539,24.42682891,34
ACADS,19.24419068,19.97715259,35
ACADSB,21.67964117,21.87792693,36
ACAT1,23.32567446,23.54992852,38
ACAT1,18.40271211,18.43871424,38
ACAT2,24.21436533,24.46970736,39
ACLY,26.45852954,26.85774304,47
ACO1,25.11943452,25.00472296,48
ACO1,16.37826452,16.70322714,48
ACO2,25.27074901,25.48556,50
ACOT11,21.37745266,21.49507175,26027
ACOT13,21.71044754,22.05711313,55856
ACOT4,18.27579089,19.15304549,122970
ACOT7,25.73393048,25.76245407,11332
ACOT8,20.80205004,21.10682279,10005
ACOX1,24.71185883,25.23623329,51
ACP1,21.40499597,21.31917396,52
ACP1,18.1588936,17.78052995,52
ACP2,21.8804839,21.83987951,53
ACP6,22.73367933,22.99807837,51205
ACP7,19.30896928,19.58355057,390928
ACSL1,23.1577456,23.9643498,2180
ACSL3,25.15506825,25.2432462,2181
ACSL4,25.01487656,24.89646414,2182
ACSL5,17.11626657,17.45946313,51703
ACSL6,19.84209973,20.1929397,23305
ACSM3,18.20124193,18.22899708,6296
ACSS1,20.49356095,20.72132401,84532
ACSS2,24.31499204,24.47377747,55902
ACYP1,21.71696613,21.99481597,97
ACYP2,20.69151806,21.4068875,98
ADA,20.9439129,21.40061468,100
ADCY3,17.79393164,17.32577762,109
ADCY5,18.28093702,18.10639697,111
ADCY6,16.03685474,15.92394209,112
ADCY7,16.21407871,16.42782102,113
ADCY9,18.34577447,18.57447697,115
ADH5,25.20449075,25.3111258,128
ADI1,22.57460453,22.13876092,55256
ADK,22.32978013,22.47608779,132
ADO,24.83263099,24.83420006,84890
ADSL,24.74456667,24.5244297,158
ADSS1,22.67702058,22.91563089,122622
ADSS2,24.25617528,24.12599066,159
AFMID,16.77570004,16.51751829,125061
AGA,21.34207713,21.48275562,175
AGK,24.49625318,24.47422194,55750
AGL,24.89033714,24.72118253,178
AGMAT,16.07716429,16.60546463,79814
AGPAT1,22.29653494,22.50083183,10554
AGPAT2,21.38221415,21.57883149,10555
AGPAT3,22.37659294,22.67423137,56894
AGPAT4,19.25185098,19.06066958,56895
AGPAT5,18.54071447,18.47845965,55326
AHCY,27.33723678,27.56079204,191
AHCYL1,22.9315033,22.83670137,10768
AK1,25.10482582,25.74296408,203
AK2,25.33482094,25.36346815,204
AK3,24.13963403,24.92130977,50808
AK4,23.91158257,24.5136455,205
AKR1A1,24.56075398,24.83235862,10327
AKR1B10,20.54690857,20.26638492,57016
AKR1C1,19.63421127,20.11076765,1645
AKR1C3,18.63663671,19.10089421,8644
AKR7A2,24.69097778,24.79073271,8574
ALAD,20.72855637,20.58521984,210
ALAS1,22.09845615,21.79164818,211
ALDH18A1,25.09563781,25.21009663,5832
ALDH1A3,26.37018862,26.68658829,220
ALDH1L1,18.78606196,18.88693744,10840
ALDH2,17.00505408,16.76253789,217
ALDH3A1,18.56668203,18.98642238,218
ALDH3A2,23.60258026,23.58340513,224
ALDH3B1,18.23816643,18.46813292,221
ALDH4A1,24.12549749,24.80783983,8659
ALDH5A1,22.57531351,23.0059035,7915
ALDH6A1,22.93325669,23.35466453,4329
ALDH7A1,24.70978297,25.1846157,501
ALDH9A1,23.69244323,23.75767653,223
ALDOA,18.97593553,19.00921032,226
ALDOA,22.92812327,22.89514976,226
ALDOC,24.08596585,23.86463371,230
ALG10,23.55727155,23.1825082,84920
ALG5,23.32260814,23.19789228,29880
AMACR,18.46231266,18.64034121,23600
AMDHD2,16.48810942,16.39070816,51005
AMPD3,22.7902641,23.5699293,272
AMY2A,18.07227761,17.55208735,279
AMY2A,16.70349814,16.66143493,279
ANPEP,23.01276119,23.38180101,290
APRT,23.64386232,23.60286637,353
ARG1,21.73274459,21.39845278,383
ARG2,17.14513887,16.28366363,384
ARSA,14.6584952,14.82943916,410
ARSB,19.94711459,20.14205372,411
ASAH1,19.99212978,20.48928957,427
ASH1L,19.18613765,18.91947568,55870
ASL,22.56240772,22.86812091,435
ASNS,25.34815902,25.66776905,440
ASRGL1,20.46784134,20.20845591,80150
ASS1,24.22088603,25.75629813,445
ATIC,25.80882703,25.72510279,471
ATP11A,20.03505102,20.1326444,23250
ATP11C,22.70465227,22.75935235,286410
ATP1A1,26.31568026,26.43699738,476
ATP1A2,23.29637682,23.45998532,477
ATP1A3,24.37272382,24.45597913,478
ATP1A4,15.52978721,15.60968437,480
ATP1B1,25.0911604,25.21504126,481
ATP1B2,18.7279046,18.70316356,482
ATP1B3,24.32362222,24.0851165,483
ATP2B1,24.1248731,23.93624976,490
ATP2B3,15.5520127,15.18320734,492
ATP2B4,22.85397108,23.22814642,493
ATP4A,17.13714485,17.18904397,495
ATP5F1A,21.39946349,21.4666949,498
ATP5F1A,17.75298569,18.27605301,498
ATP5F1B,26.48461834,26.50891792,506
ATP5F1C,24.15683927,24.03099178,509
ATP5F1D,19.47224036,19.03325216,513
ATP5F1E,22.73472649,22.59949704,514
ATP5MC1,24.57592277,24.44895233,516
ATP5ME,22.47953344,22.34350917,521
ATP5MG,23.21042657,23.03482611,10632
ATP5PB,23.9924699,23.90787553,515
ATP5PD,23.59087248,23.52670337,10476
ATP5PF,21.40557746,21.25314958,522
ATP5PO,24.37959219,24.6316757,539
ATP6V0A1,22.65962393,22.73720943,535
ATP6V0A2,21.660537,21.69208168,23545
ATP6V0A4,15.71144473,16.81063195,50617
ATP6V0C,22.55001195,23.01796154,527
ATP6V0D1,23.28823483,23.62951862,9114
ATP6V0D2,18.86983837,19.88107904,245972
ATP6V1A,24.71289983,24.74171764,523
ATP6V1B2,24.99735114,25.2053685,526
ATP6V1C1,25.19313754,25.34185334,528
ATP6V1D,21.495188,21.59404982,51382
ATP6V1E1,23.08281848,23.24395771,529
ATP6V1F,17.03173987,16.878133,9296
ATP6V1G1,22.23143995,22.47249229,9550
ATP6V1G2,18.93444611,19.0378575,534
ATP6V1H,23.43346626,23.46000158,51606
ATP8A1,21.06446772,21.12165939,10396
ATP8B1,22.68209132,22.69352697,5205
B3GALNT1,19.8366911,19.88483741,8706
B3GALNT2,19.33344041,19.03452978,148789
B3GALT6,21.48362639,21.49393421,126792
B3GAT3,23.19046113,23.46346695,26229
B3GNT2,19.04664284,19.13465861,10678
B3GNT3,21.35461853,22.22226359,10331
B3GNT5,20.05582046,20.13547717,84002
B4GALNT1,17.85168457,17.29103416,2583
B4GALNT2,18.68082235,19.24723116,124872
B4GALT1,21.25640735,21.38059185,2683
B4GALT2,18.90552097,18.92767265,8704
B4GALT3,22.37762336,22.23522899,8703
B4GALT4,20.41873009,20.50258328,8702
B4GALT7,20.9684752,21.09714554,11285
B4GAT1,21.97269098,21.49893078,11041
BCAT2,22.43945783,22.63076269,587
BCKDHB,21.89498299,22.32169199,594
BDH1,22.29931918,22.66046413,622
BDH2,20.61487101,20.26449619,56898
BLVRA,22.33778167,22.41882537,644
BLVRB,23.12241997,24.09462134,645
BPGM,20.4294241,21.10788467,669
BPNT1,22.24071337,22.292107,10380
BPNT1,18.5831834,18.83507114,10380
BSG,20.90928765,20.63227644,682
BTD,19.33599025,19.66915217,686
C1GALT1,21.72957466,21.96022411,56913
CA12,18.67452941,18.67393372,771
CA13,19.07336042,19.39865522,377677
CA2,19.68201201,19.64636418,760
CA5B,18.00381969,17.86463864,11238
CA9,21.55887245,21.27619035,768
CAD,26.66705197,26.385231,790
CANT1,23.35062119,23.40095375,124583
CAT,24.63429522,24.0407949,847
CBR1,25.42941837,25.49119529,873
CBR3,23.09680078,22.96910153,874
CBR4,19.05923096,19.46769994,84869
CBS,21.1217148,21.71970883,875
CDA,21.3887645,21.986498,978
CDIPT,21.07440302,21.61931896,10423
CDS1,20.32935404,20.45466425,1040
CDS2,21.61694828,21.46423875,8760
CERS2,22.67039966,22.63615246,29956
CERS5,20.91003299,21.11538307,91012
CERS6,17.89510445,17.76574001,253782
CERT1,21.07841461,21.06024023,10087
CES2,17.04629597,17.41995734,8824
CHDH,20.07431637,19.89788296,55349
CHIA,17.36070758,17.29611985,27159
